S.No,State,College Name,University,Management,Estb,Seats
8,Odisha,"Saheed Laxman Nayak Medical College & Hospital, Koraput",Berhampur University,State Govt.,2017,125
9,Odisha,"Sri Jagannath Medical College & Hospital, Puri","Utkal University, Bhubaneswar",State Govt.,2021,100
10,Odisha,"SCB Medical College, Cuttack","Utkal University, Bhubaneswar",State Govt.,1944,250
11,Odisha,"Government Medical College, Sundargarh",Sambalpur University,State Govt.,2022,100
12,Odisha,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla",Sambalpur University,State Govt.,1959,200
13,Odisha,"Government Medical College and Hospital, Jajpur,","The Orissa University Of Health Sciences, Bhubaneswar",State Govt.,2024,50
14,Odisha,"Pabitra Mohan Pradhan Medical College, Talcher","The Orissa University Of Health Sciences, Bhubaneswar",State Govt.,2025,100
15,Odisha,"Government Medical College Phulbani, Kandhamal","Utkal University, Bhubaneswar",State Govt.,2025,100
1,Pondicherry,"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry University,Govt.,2010,180
2,Pondicherry,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry","Statutory Autonomous, Puducherry",Central Govt.,1956,243
1,Punjab,"All India Institute of Medical Sciences, Bhatinda","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2019,100
2,Punjab,"Dr B R Ambedkar State Institute of Medical Sciences,Mohali","Baba Farid University of Health Sciences,Faridkot",State Govt.,2021,100
3,Punjab,ESIC Medical College Ludhiana,"Baba Farid University of Health Sciences,Faridkot",State Govt.,2025,50
4,Punjab,"Government Medical College, Amritsar","Baba Farid University of Health Sciences,Faridkot",State Govt.,1943,250
5,Punjab,"Government Medical College, Patiala","Baba Farid University of Health Sciences,Faridkot",State Govt.,1953,250
6,Punjab,"Guru Govind Singh Medical College, Faridkot","Baba Farid University of Health Sciences,Faridkot",State Govt.,1973,250
1,Rajasthan,"All India Institute of Medical Sciences, Jodhpur","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2012,100
2,Rajasthan,"Employees State Insurance Corporation Medical College, Alwar",Rajasthan University of Health Sciences,Central Govt.,2021,100
3,Rajasthan,"ESIC Medical College & Hospital, Jaipur",Rajasthan University of Health Sciences,Central Govt.,2025,50
4,Rajasthan,"Dr SN Medical College, Jodhpur",Rajasthan University of Health Sciences,State Govt.,1965,250
5,Rajasthan,"Government Medical College, Alwar",Rajasthan University of Health Sciences,State Govt.,2023,100
6,Rajasthan,"Government Medical College, Barmer",Rajasthan University of Health Sciences,State Govt.,2019,130
7,Rajasthan,"Government Medical College, Bharatpur",Rajasthan University of Health Sciences,State Govt.,2018,150
8,Rajasthan,"Government Medical College, Bhilwara",Rajasthan University of Health Sciences,State Govt.,2018,150
9,Rajasthan,"Government Medical College, Bundi",Rajasthan University of Health Sciences,State Govt.,2023,100
10,Rajasthan,"Government Medical College, Chittorgarh",Rajasthan University of Health Sciences,State Govt.,2022,100
11,Rajasthan,"Government Medical College, Churu",Rajasthan University of Health Sciences,State Govt.,2018,150
12,Rajasthan,"Government Medical College, Dausa",Rajasthan University of Health Sciences,State Govt.,2023,100
13,Rajasthan,"Government Medical College, Dholpur",Rajasthan University of Health Sciences,State Govt.,2022,100
14,Rajasthan,"Government Medical College, Dungarpur",Rajasthan University of Health Sciences,State Govt.,2018,150
15,Rajasthan,"Government Medical College, Hanumangarh",Rajasthan University of Health Sciences,State Govt.,2023,100
16,Rajasthan,"Government Medical College, Karauli",Rajasthan University of Health Sciences,State Govt.,2023,100
