S.No,State,College Name,University,Management,Estb,Seats
1,Andaman & Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,2015,114
1,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,State Govt.,2014,175
2,Andhra Pradesh,"All India Institute of Medical Sciences, Mangalagiri, Vijayawada","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2018,125
3,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,State Govt.,1923,250
4,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,State Govt.,2000,200
5,Andhra Pradesh,"Government Medical College, Eluru",Dr. YSR University of Health Sciences,State Govt.,2023,150
6,Andhra Pradesh,"GMC, Rajiv Gandhi Institute of Medical Sciences, Kadapa",Dr. YSR University of Health Sciences,State Govt.,2006,175
7,Andhra Pradesh,"Government Medical College, Machilipatnam",Dr. YSR University of Health Sciences,State Govt.,2023,150
8,Andhra Pradesh,"Government Medical College, Nandyal",Dr. YSR University of Health Sciences,State Govt.,2023,150
9,Andhra Pradesh,"GMC, Rajiv Gandhi Institute of Medical Sciences, Ongole",Dr. YSR University of Health Sciences,State Govt.,2011,150
10,Andhra Pradesh,"Government medical College, Paderu, Visakhapatnam",Dr. YSR University of Health Sciences,State Govt.,2024,50
11,Andhra Pradesh,"Government Medical College, Rajamandravaram",Dr. YSR University of Health Sciences,State Govt.,2023,150
12,Andhra Pradesh,"Government Medical College, Vizianagaram",Dr. YSR University of Health Sciences,State Govt.,2023,150
13,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,State Govt.,1980,175
14,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,State Govt.,1946,250
15,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,State Govt.,1957,250
16,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,State Govt.,2008,200
17,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,State Govt.,1958,250
18,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,State Govt.,1960,240
19,Andhra Pradesh,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",State Govt.,2014,175
1,Arunachal Pradesh,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun","Rajiv Gandhi University, Arunanchal Pradesh",State Govt.,2018,100
1,Assam,"All India Institute of Medical Sciences, Guwahati","Statutory Autonomous, AIIMS (Guwahati)",Central Govt.,2020,100
2,Assam,"Assam Medical College, Dibrugarh",Srimanta Shankardeva University of Health Sciences,State Govt.,1947,250
3,Assam,"Dhubri Medical College, Dhubri",Srimanta Shankardeva University of Health Sciences,State Govt.,2022,100
4,Assam,"Diphu Medical College & Hospital, Diphu",Srimanta Shankardeva University of Health Sciences,State Govt.,2020,100
5,Assam,"ESIC Medical College and Hospital, Beltola",Srimanta Shankardeva University of Health Sciences,Central Govt.,2025,50
6,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam",Srimanta Shankardeva University of Health Sciences,State Govt-Society,2012,125
7,Assam,"Gauhati Medical College, Guwahati",Srimanta Shankardeva University of Health Sciences,State Govt.,1960,250
8,Assam,"Jorhat Medical College & Hospital , Jorhat",Srimanta Shankardeva University of Health Sciences,State Govt.,2010,125
9,Assam,Kokrajhar Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2023,100
10,Assam,Lakhimpur Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2021,100
11,Assam,Nagaon Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2023,100
12,Assam,"Nalbari Medical College, Nalbari",Srimanta Shankardeva University of Health Sciences,State Govt.,2023,100
13,Assam,"Silchar Medical College, Silchar",Srimanta Shankardeva University of Health Sciences,State Govt.,1968,150
14,Assam,"Tezpur Medical College & Hospital, Tezpur",Srimanta Shankardeva University of Health Sciences,State Govt.,2014,125
15,Assam,"Tinsukia Medical College, Luhari",Srimanta Shankardeva University of Health Sciences,State Govt.,2024,100
16,Assam,Pragjyotishpur Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2025,100
1,Bihar,"All India Institute of Medical Sciences, Patna","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2012,125
2,Bihar,"Anugrah Narayan Magadh Medical College, Gaya","Aryabhatta Knowledge University, Patna",State Govt.,1970,120
3,Bihar,"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri, Nalanda","Aryabhatta Knowledge University, Patna",State Govt.,2013,120
4,Bihar,"Darbhanga Medical College, Lehriasarai","Aryabhatta Knowledge University, Patna",State Govt.,1946,120
5,Bihar,"Employees State Insurance Corporation Medical College, Patna","Aryabhatta Knowledge University, Patna",Central Govt.,2021,100
6,Bihar,"Government Medical College, Bettiah","Aryabhatta Knowledge University, Patna",State Govt.,2013,120
7,Bihar,"Government Medical College, Purnea","Aryabhatta Knowledge University, Patna",State Govt.,2023,100
8,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna","Indira Gandhi Instt of Medical Sciences (Deemed University), Patna",State Govt.,2011,150
9,Bihar,"Jannayak Karpoori Thakur Medical College & Hospital, Madhepura","Aryabhatta Knowledge University, Patna",State Govt.,2020,100
10,Bihar,"Jawaharlal Nehru Medical College, Bhagalpur","Aryabhatta Knowledge University, Patna",State Govt.,1971,120
11,Bihar,"Nalanda Medical College, Patna","Aryabhatta Knowledge University, Patna",State Govt.,1970,150
12,Bihar,"Patna Medical College, Patna","Aryabhatta Knowledge University, Patna",State Govt.,1925,200
13,Bihar,"Shri Krishna Medical College, Muzzafarpur","Aryabhatta Knowledge University, Patna",State Govt.,1970,120
1,Chandigarh,"Government Medical College, Chandigarh",Punjab University,Govt.,1991,150
1,Chattisgarh,"All India Institute of Medical Sciences, Raipur","Statutory Autonomous, AIIMS(Raipur)",Central Govt.,2012,125
,Chattisgarh,"Chandulal Chandrakar Memorial Medical College, Durg","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2013,200
2,Chattisgarh,"Chhattisgarh Institute of Medical Sciences, Bilaspur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2001,150
3,Chattisgarh,"Government Medical College, Kanker","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2021,125
4,Chattisgarh,"Government Medical College, Korba","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2022,125
5,Chattisgarh,"GMC (Bharat Ratna Shri Atal Bihari Vajpyee Memorial Med. Col.), Rajnandgaon","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2014,125
6,Chattisgarh,"Rajmata Shrimati Devendra kumari Singhdeo Government Medical College, Ambikapur, (Surguja)","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2016,125
7,Chattisgarh,"Government Medical College, Mahasamund","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2022,125
8,Chattisgarh,"Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2006,125
9,Chattisgarh,"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2013,100
10,Chattisgarh,"Pt. J N M Medical College, Raipur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,1963,230
1,Dadra and Nagar Haveli,"NAMO Medical Education & Research Institute, Govt Medical College, Silvassa",Veer Narmad South Gujarat University,State Govt.,2019,177
1,Delhi,"All India Institute of Medical Sciences, New Delhi","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,1956,132
2,Delhi,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi",Guru Gobind Singh Indraprastha University,Central Govt.,2008,100
3,Delhi,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",Guru Gobind Singh Indraprastha University,State Govt.,2016,125
4,Delhi,"ESIC Medical College & Hospital, Basaidarapur, New Delhi",Guru Gobind Singh Indraprastha University,Central Govt.,2025,50
5,Delhi,"Lady Hardinge Medical College, New Delhi",Delhi University,Central Govt.,1916,240
6,Delhi,"Maulana Azad Medical College, New Delhi",Delhi University,Central Govt.,1958,250
7,Delhi,"North Delhi Muncipal Corporation Medical College, Delhi",Guru Gobind Singh Indraprastha University,State Govt.,2013,60
8,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",Delhi University,Central Govt.,1971,170
9,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",Guru Gobind Singh Indraprastha University,Central Govt.,2002,170
1,Goa,"Goa Medical College, Panaji",Goa University,Govt.,1963,200
1,Gujarat,"All India Institute of Medical Sciences, Rajkot","Statutory Autonomous, AIIMS (Rajkot)",Central Govt.,2020,75
2,Gujarat,"B.J. Medical College, Ahmedabad",Gujarat University,State Govt.,1946,250
3,Gujarat,"ESIC Medical College,Naroda Baounagar, Ahmedabad",Gujarat University,Central Govt.,2025,50
4,Gujarat,"GMERS Medical College, Dharpur, Patan","Hemchandracharya North Gujarat University, Patan",State Govt-Society,2012,200
5,Gujarat,"GMERS Medical College, Gandhinagar",Gujarat University,State Govt-Society,2012,200
6,Gujarat,"GMERS Medical College, Gotri, Vadodara",MS University of Baroda,State Govt-Society,2011,200
7,Gujarat,"GMERS Medical College, Morbi","Saurashtra University, Rajkot",State Govt.,2022,100
8,Gujarat,"GMERS Medical College, Panchmahal Godhra","Shri Govind Guru University, Godhara",State Govt.,2022,100
9,Gujarat,"GMERS Medical College, Himmatnagar","Hemchandracharya North Gujarat University, Patan",State Govt-Society,2015,200
10,Gujarat,"GMERS Medical College, Junagadh","Bhakta Kavi Narsing Mehta University, Bikha Roa, Khadia",State Govt-Society,2015,200
11,Gujarat,"GMERS Medical College, Sola, Ahmedabad",Gujarat University,State Govt-Society,2011,200
12,Gujarat,"GMERS Medical College, Vadnagar, Mehsana","Hemchandracharya North Gujarat University, Patan",State Govt-Society,2017,200
13,Gujarat,"GMERS Medical College, Navsari",Veer Narmad South Gujarat University,State Govt.,2022,100
14,Gujarat,"GMERS Medical College, Rajpipla",Veer Narmad South Gujarat University,State Govt.,2022,100
15,Gujarat,"GMERS Medical College, Valsad",Veer Narmad South Gujarat University,State Govt-Society,2012,200
16,Gujarat,"Government Medical College, Bhavnagar",Maharaja Krishnakumarsinghji Bhavnagar University,State Govt.,1995,200
17,Gujarat,"Government Medical College, Surat",Veer Narmad South Gujarat University,State Govt.,1964,250
18,Gujarat,"Government Medical College, Porbandar","Bhakta Kavi Narsing Mehta University, Bikha Roa, Khadia",State Govt.,2022,100
19,Gujarat,"Medical College, Baroda",MS University of Baroda,State Govt.,1949,250
20,Gujarat,"MP Shah Medical College, Jamnagar",Saurashtra University,State Govt.,1955,250
21,Gujarat,"Narendra Modi Medical College, Ahmedabad",Gujarat University,State Govt.,2009,200
22,Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",Saurashtra University,State Govt.,1995,200
23,Gujarat,"Smt. N.H.L.Municipal Medical College, Ahmedabad",Gujarat University,State Govt.,1963,250
24,Gujarat,"Surat Municipal Institute of Medical Education & Research, Surat",Veer Narmad South Gujarat University,State Govt.,1999,250
1,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,2012,120
2,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Central Govt.,2015,150
3,Haryana,"Kalpana Chawala Govt. Medical College, Karnal, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,2017,120
4,Haryana,"Maharishi Chyawan Medical College, Koriawas","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,2025,100
5,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,1960,250
6,Haryana,"Pt. Neki Ram Sharma GMC, Bhiwani","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,2025,100
7,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,2013,120
8,Haryana,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",State Govt.,2022,100
1,Himachal Pradesh,"All India Institute of Medical Sciences, Bilaspur","Statutory Autonomous, AIIMS (Bilaspur)",Central Govt.,2020,100
2,Himachal Pradesh,"Dr. Radhakrishnan Government Medical College, Hamirpur",Himachal Pradesh University,State Govt.,2018,120
3,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda",Himachal Pradesh University,State Govt.,1996,120
4,Himachal Pradesh,"Government Medical College, Nahan, Sirmour",Himachal Pradesh University,State Govt.,2016,120
5,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,State Govt.,1966,120
6,Himachal Pradesh,"Pt. Jawahar Lal Nehru Government Medical College, Chamba",Himachal Pradesh University,State Govt.,2017,120
7,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi (ESIC)",Himachal Pradesh University,State Govt.,2017,120
1,Jammu & Kashmir,"All India Institute of Medical Sciences, Vijaypur","Statutory Autonomous, AIIMS (Vijaypur)",Central Govt.,2020,100
2,Jammu & Kashmir,"Government Medical College & Associated Hospital, Rajouri",Jammu University,State Govt.,2019,100
3,Jammu & Kashmir,"Government Medical College, Anantnag",Kashmir University,State Govt.,2019,150
4,Jammu & Kashmir,"Government Medical College, Baramulla",Kashmir University,State Govt.,2019,150
5,Jammu & Kashmir,"Govt. Medical College, Doda, Kashmir",Kashmir University,State Govt.,2020,150
6,Jammu & Kashmir,"Government Medical College, Handwara",Kashmir University,State Govt.,2023,100
7,Jammu & Kashmir,"Government Medical College, Jammu",Jammu University,State Govt.,1972,200
8,Jammu & Kashmir,"Government Medical College, Kathua",Jammu University,State Govt.,2019,150
9,Jammu & Kashmir,"Government Medical College, Udhampur",University of Jammu,State Govt.,2023,100
10,Jammu & Kashmir,"Government Medical College, Srinagar",Kashmir University,State Govt.,1959,200
11,Jammu & Kashmir,"SKIMS, Srinagar",SKIMS Deemed University,State Govt.,1988,125
1,Jharkhand,"All India Institute of Medical Sciences, Deoghar","Statutory Autonomous, AIIMS(Deoghar)",Central Govt.,2019,125
2,Jharkhand,"Dumka Medical College, Dighi, Dumka",Sidho Kanhu Murmu University,State Govt.,2019,100
3,Jharkhand,"Hazaribagh Medical College, Hazaribagh",Vinoba Bhave University,State Govt.,2019,100
4,Jharkhand,"M G M Medical College, Jamshedpur","Kolhan University, Chaibasa",State Govt.,1961,150
5,Jharkhand,"Palamu Medical College, Palamu",Nilamber-Pitamber University,State Govt.,2019,100
6,Jharkhand,"Rajendra Institute of Medical Sciences, Ranchi",Ranchi University,State Govt.,1960,180
7,Jharkhand,"Shahed Nirmal Mahto Medical College & Hospital, (Patliputra),Dhanbad","Binod Bihati Mahto Koyalanchal University, Dhanbad",State Govt.,1969,100
1,Karnataka,"Bangalore Medical College and Research Institute, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,1955,250
2,Karnataka,"Belagavi Institute of Medical Sciences, Belagavi","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2006,200
3,Karnataka,"Bidar Institute of Medical Sciences, Bidar","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2007,200
4,Karnataka,"Chikkaballapura Institute of Medical Sciences, Chikkaballapura","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2021,150
5,Karnataka,"Chamrajanagar Institute of Medical Sciences, Chamarajanagar","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2016,150
6,Karnataka,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2022,150
7,Karnataka,"Chitradurga Medical College and Research Institute, Chitradurga","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2023,150
8,Karnataka,"Employees State Insurance Corporation Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Central Govt.,2012,150
9,Karnataka,"Employees State Insurance Corporation Medical College, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Central Govt.,2013,150
10,Karnataka,"Gadag Institute of Medical Sciences, Mallasamudra, Mulgund Road, Gadag","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2015,150
11,Karnataka,"Gulbarga Institute of Medical Sciences, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2015,200
12,Karnataka,"Hassan Institute of Medical Sciences, Hassan","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2006,200
13,Karnataka,"Karnataka Institute of Medical Sciences, Hubballi","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,1957,200
14,Karnataka,"Karwar Institute of Medical Sciences, Karwar","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2016,150
15,Karnataka,"Kodagu Institute of Medical Sciences, Kodagu","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2016,150
16,Karnataka,"Koppal Institute of Medical Sciences, Koppal","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2015,150
17,Karnataka,"Mandya Institute of Medical Sciences, Mandya","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2006,150
18,Karnataka,"Mysore Medical College and Research Instt. (Prev.name Government Medical College), Mysore","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,1924,250
19,Karnataka,"Raichur Institute of Medical Sciences, Raichur","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2007,200
20,Karnataka,"Shimoga Institute of Medical Sciences, Shimoga","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2007,150
21,Karnataka,"Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2019,200
22,Karnataka,"Vijaynagar Institute of Medical Sciences, Bellary","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,1961,250
23,Karnataka,"Yadgiri Institute of Medical Sciences, Yadgiri","Rajiv Gandhi University of Health Sciences, Karnataka",State Govt.,2022,150
1,Kerala,"Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad","Kerala University of Health Sciences, Thrissur",State Govt.,2014,100
2,Kerala,"Government Medical College, Ernakulam","Kerala University of Health Sciences, Thrissur",State Govt.,2000,110
3,Kerala,"Government Medical College, Kottayam","Kerala University of Health Sciences, Thrissur",State Govt.,1960,175
4,Kerala,"Government Medical College, Kozhikode, Calicut","Kerala University of Health Sciences, Thrissur",State Govt.,1957,250
5,Kerala,"Government Medical College, Manjeri, Malapuram Dist.","Kerala University of Health Sciences, Thrissur",State Govt.,2013,110
6,Kerala,"Government Medical College, Idukki","Kerala University of Health Sciences, Thrissur, Kerala",State Govt.,2022,100
7,Kerala,"Government Medical College, Parippally, Kollam (ESI)","Kerala University of Health Sciences, Thrissur",Central Govt.,2017,110
8,Kerala,"Government Medical College, Konni","Kerala University of Health Sciences, Thrissur, Kerala",State Govt.,2022,100
9,Kerala,"Govt. Medical College,Pariyaram, Kannur (Prev. Known as Academy of Medical Sciences)","Kerala University of Health Sciences, Thrissur, Kerala",State Govt.,1995,100
10,Kerala,"Government Medical College, Thrissur","Kerala University of Health Sciences, Thrissur",State Govt.,1981,175
11,Kerala,"Medical College, Thiruvananthapuram","Kerala University of Health Sciences, Thrissur",State Govt.,1951,250
12,Kerala,"T D Medical College, Alleppey (Alappuzha)","Kerala University of Health Sciences, Thrissur",State Govt.,1963,175
13,Kerala,Government Medical College Kasaragod,"Kerala University of Health Sciences, Thrissur",State Govt.,2025,50
14,Kerala,"Government Medical College, Wayanad","Kerala University of Health Sciences, Thrissur",State Govt.,2025,50
